x skill lower upper
0.0 3.7809824995548915 3.3257151536896026 4.2184731838038285
0.005 3.791775778258338 3.332714611841111 4.232417774670744
0.01 3.796442494219959 3.3337942363364146 4.24020609510224
0.015 3.79491053849467 3.329306966777339 4.2457947991684994
0.02 3.7872868440639653 3.31969721250002 4.2436616983519295
0.03 3.7549881555861107 3.2856825632478084 4.215649192037173
0.04 3.7030972811382896 3.2358936160003466 4.169541263117508
0.05 3.6361403051741132 3.1742703093953355 4.099437420645778
0.07 3.4747730738130356 3.0324284369672116 3.9329751112501925
0.09 3.299604064009345 2.8784653615472964 3.7438963987575367
0.12 3.0448423642380114 2.6608576750557424 3.457191409205004
0.16 2.7484505712923837 2.40458147123799 3.121540225619911
0.2 2.505992825758726 2.200827640770838 2.847820030468876
0.25 2.2665346335210197 1.9972950161236394 2.5681958258605198
0.3 2.0809450683669497 1.840533357334916 2.3506236087075507
0.4 1.8180110867871497 1.6201437212232015 2.039943588941082
0.5 1.6447575606472786 1.4790293503788328 1.831764023466937
0.6 1.5242548288217086 1.3826535496254155 1.6838419093548915
0.8 1.3709824949880205 1.2633446949571625 1.4927432088527084
1.0 1.27998969259208 1.1932754851512937 1.3774966074448123
