x skill lower upper
0.0 4.034119403063972 3.190815553879339 4.8575546728840955
0.005 4.035929782589077 3.1967606981327763 4.85450280976905
0.01 4.0410448016983365 3.2024398512195202 4.85654133526712
0.015 4.048407498941974 3.210562884211328 4.858753922788699
0.02 4.056939345362444 3.2250538693478625 4.865833856827299
0.03 4.074700215812303 3.2511717209806585 4.879397896487857
0.04 4.091024742312694 3.2667067311243954 4.889405531983591
0.05 4.104481549938134 3.282940593039871 4.8951940808976095
0.07 4.12032043024562 3.3146506355792593 4.893385705627042
0.09 4.1204208749080475 3.3383190852855087 4.867355602299422
0.12 4.094544959167954 3.36141095361365 4.802624882588082
0.16 4.026688955927231 3.353758415016543 4.676003680604797
0.2 3.93982408969564 3.323074601818139 4.5264945263491345
0.25 3.825226204606884 3.2580826795272704 4.338273152147209
0.3 3.716591643327089 3.2032524989625313 4.160822090874126
0.4 3.533824182660999 3.1020384736450217 3.906461651941776
0.5 3.395858448698369 3.022212620940234 3.715516455458693
0.6 3.292476096577523 2.9532053469798476 3.573120401468862
0.8 3.154102968400482 2.8647400272308583 3.3951761097152753
1.0 3.070442328567875 2.809167353081499 3.2897407079506817
