x skill lower upper
0.0 2.0030699014306435 1.9101006100930051 2.1028499303600645
0.02 2.0010543826147678 1.9083171583397682 2.1006629654085263
0.05 1.9944885321804717 1.9030210812201442 2.0917095315816323
0.08 1.9838239716064343 1.893219233274707 2.0807463064289418
0.12 1.9636873724351434 1.8748126326153536 2.05808576170227
0.18 1.9225485313957509 1.836116604720086 2.015739756245427
0.25 1.8620896097900852 1.7802707600371828 1.9499559525477714
0.35 1.7630005638069919 1.68671258279748 1.8415286796542756
0.5 1.6116288014369404 1.546214448465276 1.6791295473270007
0.7 1.4384348851205377 1.3852906691615672 1.4919790574770337
1.0 1.2564698078908991 1.2156861641852135 1.2964831628735394
1.3 1.1436657231985998 1.1122355991397266 1.1757402833015471
1.6 1.0724101927267171 1.046687499271834 1.098680273683575
2.0 1.0137056557241957 0.9927042617476005 1.0349074834941843
