system,reference,model,skill,ci_low,ci_high,admitted,reference_loss,model_loss,n_windows
mbr,persistence,gru_s123,2.621207061308453,2.473565168805339,2.7699366098619995,True,136.22062646590499,51.96866301661282,504
mbr,persistence,gru_s42,3.795735261412041,3.5061370227555058,4.0743942248158,True,136.22062646590499,35.887810156504415,504
mbr,persistence,gru_s7,3.671130782308932,3.385618743344769,3.9325922943460103,True,136.22062646590499,37.105904023454585,504
mbr,persistence,mlp_s123,1.0152498915451937,1.0097194805414902,1.0234503480479111,True,136.22062646590499,134.1744801948015,504
mbr,persistence,mlp_s42,1.5902590501890517,1.5205496904711662,1.6441693148926573,True,136.22062646590499,85.6593939520174,504
mbr,persistence,mlp_s7,2.22346330298902,2.0765960417025986,2.351292840629011,True,136.22062646590499,61.26506620675164,504
mbr,persistence,ridge,1.4326742954054055,1.2644937539771066,1.6045738686817659,True,136.22062646590499,95.08136420313068,504
mbr,history_mean,gru_s123,2.8152806750358876,2.6520492275412715,2.965630216004718,True,146.30637269812232,51.96866301661282,504
mbr,history_mean,gru_s42,4.076770693449662,3.756282246408394,4.389952139171843,True,146.30637269812232,35.887810156504415,504
mbr,history_mean,gru_s7,3.9429405251962675,3.617845859145736,4.223348161537889,True,146.30637269812232,37.105904023454585,504
mbr,history_mean,mlp_s123,1.090418777741543,1.071734731950679,1.1101006761509713,True,146.30637269812232,134.1744801948015,504
mbr,history_mean,mlp_s42,1.7080014922832243,1.6169159680745597,1.7898992471983943,True,146.30637269812232,85.6593939520174,504
mbr,history_mean,mlp_s7,2.3880880533839823,2.225402910107085,2.5220310906218315,True,146.30637269812232,61.26506620675164,504
mbr,history_mean,ridge,1.538749195747288,1.3476742061960196,1.7347954675995738,True,146.30637269812232,95.08136420313068,504
mbr,drift,gru_s123,5.5810628772264455,5.097019354549687,6.078344399811533,True,290.0403759411087,51.96866301661282,504
mbr,drift,gru_s42,8.081863303340645,7.311294648990364,8.819995438269338,True,290.0403759411087,35.887810156504415,504
mbr,drift,gru_s7,7.816555978740597,7.005617116855992,8.611726350921737,True,290.0403759411087,37.105904023454585,504
mbr,drift,mlp_s123,2.1616657319634327,2.034131707994514,2.2894831912435984,True,290.0403759411087,134.1744801948015,504
mbr,drift,mlp_s42,3.3859727761274674,3.0957890584208587,3.611564328510522,True,290.0403759411087,85.6593939520174,504
mbr,drift,mlp_s7,4.734188566161138,4.231834920670304,5.165239085174738,True,290.0403759411087,61.26506620675164,504
mbr,drift,ridge,3.0504439894390867,2.589142729936089,3.4606521180274346,True,290.0403759411087,95.08136420313068,504
mbr,ar1,gru_s123,2.493264697590054,2.3399795045169585,2.648605319494118,True,129.5716328802746,51.96866301661282,504
mbr,ar1,gru_s42,3.6104636174573232,3.313891489136761,3.893638697897697,True,129.5716328802746,35.887810156504415,504
mbr,ar1,gru_s7,3.4919411422606106,3.1964035975175737,3.7579847954049934,True,129.5716328802746,37.105904023454585,504
mbr,ar1,mlp_s123,0.9656950613272788,0.9610799209114353,0.9693822135808482,False,129.5716328802746,134.1744801948015,504
mbr,ar1,mlp_s42,1.512637749373465,1.441199608970919,1.5672873543084331,True,129.5716328802746,85.6593939520174,504
mbr,ar1,mlp_s7,2.1149350013433152,1.9705775762164959,2.2434861602483527,True,129.5716328802746,61.26506620675164,504
mbr,ar1,ridge,1.362744781442758,1.1944118617804305,1.533305011077268,True,129.5716328802746,95.08136420313068,504
tep,persistence,gru_s123,1.942730641157619,1.8850440572160176,2.0032118311774085,True,1.2713339073956755,0.6544056496880716,1440
tep,persistence,gru_s2024,1.9471501782950273,1.889395167235693,2.0075258038716726,True,1.2713339073956755,0.6529203148104821,1440
tep,persistence,gru_s31337,1.9412837138589318,1.8831144581138737,2.001582873020852,True,1.2713339073956755,0.6548934080678431,1440
tep,persistence,gru_s42,1.9441811698164368,1.8849605504524538,2.005135797870391,True,1.2713339073956755,0.6539174060181391,1440
tep,persistence,gru_s7,1.9461337678067587,1.8876864595902738,2.005840739159357,True,1.2713339073956755,0.6532613165786827,1440
tep,persistence,mlp_s123,1.8828791515982033,1.8246018866584304,1.9427846926080217,True,1.2713339073956755,0.6752073845613282,1440
tep,persistence,mlp_s2024,1.88157069178259,1.826222156456147,1.9402043016734636,True,1.2713339073956755,0.6756769293590668,1440
tep,persistence,mlp_s31337,1.8897317656104338,1.8324844064582482,1.9507250041979713,True,1.2713339073956755,0.6727589230024933,1440
