system,reference,model,domain,metric,value
mbr,persistence,gru_s123,actuation,grid_mean,1.8518522293606123
mbr,persistence,gru_s123,actuation,grid_min,1.1253124485555048
mbr,persistence,gru_s123,actuation,normalized_trapezoid,1.6250447694899797
mbr,persistence,gru_s42,actuation,grid_mean,2.3812274863634326
mbr,persistence,gru_s42,actuation,grid_min,1.2343834428612832
mbr,persistence,gru_s42,actuation,normalized_trapezoid,1.9968244181977899
mbr,persistence,gru_s7,actuation,grid_mean,2.2763449369879516
mbr,persistence,gru_s7,actuation,grid_min,1.181116801669603
mbr,persistence,gru_s7,actuation,normalized_trapezoid,1.896532607584939
mbr,persistence,mlp_s123,actuation,grid_mean,1.0154875107315293
mbr,persistence,mlp_s123,actuation,grid_min,1.0129452310145741
mbr,persistence,mlp_s123,actuation,normalized_trapezoid,1.016002070464125
mbr,persistence,mlp_s42,actuation,grid_mean,1.6148215886412522
mbr,persistence,mlp_s42,actuation,grid_min,1.3656524608831688
mbr,persistence,mlp_s42,actuation,normalized_trapezoid,1.5978124272909704
mbr,persistence,mlp_s7,actuation,grid_mean,1.7765853049986637
mbr,persistence,mlp_s7,actuation,grid_min,1.1848067362439292
mbr,persistence,mlp_s7,actuation,normalized_trapezoid,1.6212406135572903
mbr,persistence,ridge,actuation,grid_mean,1.3174221691385157
mbr,persistence,ridge,actuation,grid_min,0.9643355434572908
mbr,persistence,ridge,actuation,normalized_trapezoid,1.2388942591363314
mbr,history_mean,gru_s123,actuation,grid_mean,1.623803030050924
mbr,history_mean,gru_s123,actuation,grid_min,0.8602250250105278
mbr,history_mean,gru_s123,actuation,normalized_trapezoid,1.3650870347130124
mbr,history_mean,gru_s42,actuation,grid_mean,2.104379040137127
mbr,history_mean,gru_s42,actuation,grid_min,0.9436024007118714
mbr,history_mean,gru_s42,actuation,normalized_trapezoid,1.6886792159100035
mbr,history_mean,gru_s7,actuation,grid_mean,2.013556345343977
mbr,history_mean,gru_s7,actuation,grid_min,0.9028836671635507
mbr,history_mean,gru_s7,actuation,normalized_trapezoid,1.6044659423314225
mbr,history_mean,mlp_s123,actuation,grid_mean,0.8665173329122923
mbr,history_mean,mlp_s123,actuation,grid_min,0.777638071782943
mbr,history_mean,mlp_s123,actuation,normalized_trapezoid,0.8357953188418223
mbr,history_mean,mlp_s42,actuation,grid_mean,1.384636304669817
mbr,history_mean,mlp_s42,actuation,grid_min,1.043948659616173
mbr,history_mean,mlp_s42,actuation,normalized_trapezoid,1.3206583850546674
mbr,history_mean,mlp_s7,actuation,grid_mean,1.5472696218535944
mbr,history_mean,mlp_s7,actuation,grid_min,0.9057043718181216
mbr,history_mean,mlp_s7,actuation,normalized_trapezoid,1.3554404241939964
mbr,history_mean,ridge,actuation,grid_mean,1.1410587000241263
mbr,history_mean,ridge,actuation,grid_min,0.7371691018382727
mbr,history_mean,ridge,actuation,normalized_trapezoid,1.031066868981735
mbr,drift,gru_s123,actuation,grid_mean,5.1134015457611754
mbr,drift,gru_s123,actuation,grid_min,3.2539894295192453
mbr,drift,gru_s123,actuation,normalized_trapezoid,4.580580495441471
mbr,drift,gru_s42,actuation,grid_mean,6.551144128897995
mbr,drift,gru_s42,actuation,grid_min,3.5693826014278476
mbr,drift,gru_s42,actuation,normalized_trapezoid,5.613980600975445
mbr,drift,gru_s7,actuation,grid_mean,6.258602226508749
mbr,drift,gru_s7,actuation,grid_min,3.415355079910411
mbr,drift,gru_s7,actuation,normalized_trapezoid,5.330574301608966
mbr,drift,mlp_s123,actuation,grid_mean,2.8367507713239593
