system,reference,model,domain,crossing,bracket_low,bracket_high,status,last_valid,bootstrap_no_crossing_fraction,conditional_ci_low,conditional_ci_high
mbr,persistence,gru_s123,actuation,,,,no_crossing_in_valid_grid,0.5,0.7615000000000001,0.28324113021249325,0.49662952876823524
mbr,persistence,gru_s42,actuation,,,,no_crossing_in_valid_grid,0.5,0.8995,0.33250937727217744,0.49835479079099465
mbr,persistence,gru_s7,actuation,,,,no_crossing_in_valid_grid,0.5,0.8614999999999999,0.3279099424949789,0.49833650795178186
mbr,persistence,mlp_s123,actuation,,,,no_crossing_in_valid_grid,0.5,1.0,,
mbr,persistence,mlp_s42,actuation,,,,no_crossing_in_valid_grid,0.5,0.9955,0.41400558376911784,0.47663418299849347
mbr,persistence,mlp_s7,actuation,,,,no_crossing_in_valid_grid,0.5,0.8955,0.31202944916354186,0.4981006135842946
mbr,persistence,ridge,actuation,0.44920232252537273,0.35,0.5,observed_crossing,0.5,0.36150000000000004,0.20769894915435497,0.4963672523968377
mbr,history_mean,gru_s123,actuation,0.3420759570441546,0.2,0.35,observed_crossing,0.5,0.13349999999999995,0.1922842910174542,0.487987442270507
mbr,history_mean,gru_s42,actuation,0.4488514139876604,0.35,0.5,observed_crossing,0.5,0.346,0.2361231942352812,0.4927347418478535
mbr,history_mean,gru_s7,actuation,0.404335866820518,0.35,0.5,observed_crossing,0.5,0.238,0.22006811876457658,0.4920499846248796
mbr,history_mean,mlp_s123,actuation,0.0,,0.0,below_at_nominal,0.5,0.0014999999999999458,0.0,0.05893523315603135
mbr,history_mean,mlp_s42,actuation,,,,no_crossing_in_valid_grid,0.5,0.6455,0.29014542765423984,0.49612356577394134
mbr,history_mean,mlp_s7,actuation,0.387443884754755,0.35,0.5,observed_crossing,0.5,0.22350000000000003,0.19707556608369428,0.4906214860087855
mbr,history_mean,ridge,actuation,0.22606145122859322,0.2,0.35,observed_crossing,0.5,0.0034999999999999476,0.10736191162037033,0.42464518976732435
mbr,drift,gru_s123,actuation,,,,no_crossing_in_valid_grid,0.5,1.0,,
mbr,drift,gru_s42,actuation,,,,no_crossing_in_valid_grid,0.5,1.0,,
mbr,drift,gru_s7,actuation,,,,no_crossing_in_valid_grid,0.5,1.0,,
mbr,drift,mlp_s123,actuation,,,,no_crossing_in_valid_grid,0.5,1.0,,
mbr,drift,mlp_s42,actuation,,,,no_crossing_in_valid_grid,0.5,1.0,,
mbr,drift,mlp_s7,actuation,,,,no_crossing_in_valid_grid,0.5,1.0,,
mbr,drift,ridge,actuation,,,,no_crossing_in_valid_grid,0.5,1.0,,
mbr,ar1,gru_s123,actuation,,,,no_crossing_in_valid_grid,0.5,0.5800000000000001,0.24329379426889988,0.49440163685339106
mbr,ar1,gru_s42,actuation,,,,no_crossing_in_valid_grid,0.5,0.763,0.31186089221484103,0.495844079744067
mbr,ar1,gru_s7,actuation,,,,no_crossing_in_valid_grid,0.5,0.6925,0.29699036600003953,0.49754505498163965
