dataset,reference,model,domain,clean_min,clean_max,no_crossing_count,crossing_min,crossing_max
mbr_admission,persistence,gru_s123,clean_admission,2.565985404986789,2.6589863885304226,8,,
mbr_admission,persistence,gru_s42,clean_admission,3.7232728097614687,3.8655382305721746,8,,
mbr_admission,persistence,gru_s7,clean_admission,3.5969889901473873,3.7420880033360278,8,,
mbr_admission,persistence,mlp_s123,clean_admission,1.0131751905886073,1.0174017850964796,8,,
mbr_admission,persistence,mlp_s42,clean_admission,1.572453578902326,1.6161421749818334,8,,
mbr_admission,persistence,mlp_s7,clean_admission,2.1917277845861176,2.2880124693435957,8,,
mbr_admission,persistence,ridge,clean_admission,1.3817458036051704,1.4824378963982134,8,,
mbr_admission,history_mean,gru_s123,clean_admission,2.7644974147295933,2.8605573673589464,8,,
mbr_admission,history_mean,gru_s42,clean_admission,3.971558380321715,4.1557357842582565,8,,
mbr_admission,history_mean,gru_s7,clean_admission,3.86837765789257,4.025766154133861,8,,
mbr_admission,history_mean,mlp_s123,clean_admission,1.0836839081184662,1.0966903281546205,8,,
mbr_admission,history_mean,mlp_s42,clean_admission,1.6768130256003595,1.7381969315823373,8,,
mbr_admission,history_mean,mlp_s7,clean_admission,2.357944410740441,2.460808408567068,8,,
mbr_admission,history_mean,ridge,clean_admission,1.4743268661540099,1.593251404918331,8,,
mbr_admission,drift,gru_s123,clean_admission,5.404461540076034,5.7035657825137624,8,,
mbr_admission,drift,gru_s42,clean_admission,7.85384865842496,8.294038152156393,8,,
mbr_admission,drift,gru_s7,clean_admission,7.575954492784253,8.060143335333112,8,,
mbr_admission,drift,mlp_s123,clean_admission,2.122613622859259,2.190390400484119,8,,
mbr_admission,drift,mlp_s42,clean_admission,3.326810651010333,3.4884323531194514,8,,
mbr_admission,drift,mlp_s7,clean_admission,4.616202607813627,4.938660005261385,8,,
mbr_admission,drift,ridge,clean_admission,2.9102239004294117,3.1837877187907013,8,,
mbr_admission,ar1,gru_s123,clean_admission,2.435855710916075,2.532737027500366,8,,
mbr_admission,ar1,gru_s42,clean_admission,3.5384775461844384,3.683907483236335,8,,
mbr_admission,ar1,gru_s7,clean_admission,3.4145736591973592,3.564412697671706,8,,
mbr_admission,ar1,mlp_s123,clean_admission,0.9646415545672374,0.9677913587784615,0,0.0,0.0
mbr_admission,ar1,mlp_s42,clean_admission,1.4940030598554352,1.5368774950262527,8,,
mbr_admission,ar1,mlp_s7,clean_admission,2.0805779450195345,2.175795500487538,8,,
mbr_admission,ar1,ridge,clean_admission,1.3116728568311182,1.4127823175522314,8,,
mbr_reference,persistence,gru_s123,actuation,2.494273016779249,2.853071285368231,7,0.496534750854989,0.496534750854989
mbr_reference,persistence,gru_s42,actuation,3.648690281445011,3.9445014369618177,8,,
mbr_reference,persistence,gru_s7,actuation,3.4665619428262207,3.8872618728477755,8,,
mbr_reference,persistence,mlp_s123,actuation,1.0112998534675042,1.0150886654457958,8,,
mbr_reference,persistence,mlp_s42,actuation,1.4951604777048124,1.760583875156231,8,,
mbr_reference,persistence,mlp_s7,actuation,2.1459473675378367,2.400078851934376,8,,
mbr_reference,persistence,ridge,actuation,1.453522665533993,1.6974662724612959,3,0.33545338432171456,0.48985479409325666
mbr_reference,history_mean,gru_s123,actuation,2.4255768180685773,2.731332634061741,0,0.2837883477387026,0.4024832825659512
mbr_reference,history_mean,gru_s42,actuation,3.5481996170623695,3.7761921880920446,1,0.3499674705043741,0.49888003361533517
mbr_reference,history_mean,gru_s7,actuation,3.3710873791095586,3.7465846168476173,0,0.3337994502019349,0.4927411413184296
mbr_reference,history_mean,mlp_s123,actuation,0.9716046381904802,1.020840241240586,0,0.0,0.01933978501542492
mbr_reference,history_mean,mlp_s42,actuation,1.5074521824055667,1.6854609339340276,5,0.4697157090642171,0.49816231119067167
mbr_reference,history_mean,mlp_s7,actuation,2.0868446046119975,2.2976690860227578,0,0.31481577659249366,0.48746546333298046
mbr_reference,history_mean,ridge,actuation,1.413490367068558,1.6250365173032426,0,0.16232650621688097,0.2743574909738842
mbr_reference,drift,gru_s123,actuation,6.266938395487873,7.319998298526381,8,,
mbr_reference,drift,gru_s42,actuation,9.12385628252201,10.291412813283902,8,,
mbr_reference,drift,gru_s7,actuation,8.998172592430148,10.070146804768878,8,,
mbr_reference,drift,mlp_s123,actuation,2.4545762832924485,2.748675413291421,8,,
mbr_reference,drift,mlp_s42,actuation,3.733871563263994,4.395529039029856,8,,
mbr_reference,drift,mlp_s7,actuation,5.467533875146068,6.022586488921983,8,,
mbr_reference,drift,ridge,actuation,3.742113784967454,4.2842040476064795,8,,
mbr_reference,ar1,gru_s123,actuation,2.358703716531028,2.6907606851160484,6,0.406508313687538,0.47805397887164014
mbr_reference,ar1,gru_s42,actuation,3.4503758287165343,3.720099614542495,7,0.49384094392638234,0.49384094392638234
mbr_reference,ar1,gru_s7,actuation,3.2781465714155553,3.6661163966884187,7,0.46564817228197036,0.46564817228197036
mbr_reference,ar1,mlp_s123,actuation,0.9571721617925244,0.9668500963106127,0,0.0,0.0
mbr_reference,ar1,mlp_s42,actuation,1.4277261307521032,1.6604246442823203,8,,
mbr_reference,ar1,mlp_s7,actuation,2.0293103430302812,2.263538891959363,8,,
mbr_reference,ar1,ridge,actuation,1.3745204675645748,1.6008977881742064,0,0.2735516164329668,0.4031760169934392
mbr_reference,persistence,gru_s123,obs_bias,2.494273016779249,2.853071285368231,8,,
mbr_reference,persistence,gru_s42,obs_bias,3.648690281445011,3.9445014369618177,8,,
mbr_reference,persistence,gru_s7,obs_bias,3.4665619428262207,3.8872618728477755,8,,
mbr_reference,persistence,mlp_s123,obs_bias,1.0112998534675042,1.0150886654457958,8,,
mbr_reference,persistence,mlp_s42,obs_bias,1.4951604777048124,1.760583875156231,8,,
mbr_reference,persistence,mlp_s7,obs_bias,2.1459473675378367,2.400078851934376,8,,
mbr_reference,persistence,ridge,obs_bias,1.453522665533993,1.6974662724612959,0,0.27273164526218857,0.3553155080638929
mbr_reference,history_mean,gru_s123,obs_bias,2.4255768180685773,2.731332634061741,8,,
mbr_reference,history_mean,gru_s42,obs_bias,3.5481996170623695,3.7761921880920446,8,,
mbr_reference,history_mean,gru_s7,obs_bias,3.3710873791095586,3.7465846168476173,8,,
mbr_reference,history_mean,mlp_s123,obs_bias,0.9716046381904802,1.020840241240586,2,0.0,0.0
mbr_reference,history_mean,mlp_s42,obs_bias,1.5074521824055667,1.6854609339340276,8,,
mbr_reference,history_mean,mlp_s7,obs_bias,2.0868446046119975,2.2976690860227578,8,,
mbr_reference,history_mean,ridge,obs_bias,1.413490367068558,1.6250365173032426,0,0.24959304897984974,0.3200815211119733
mbr_reference,drift,gru_s123,obs_bias,6.266938395487873,7.319998298526381,8,,
mbr_reference,drift,gru_s42,obs_bias,9.12385628252201,10.291412813283902,8,,
mbr_reference,drift,gru_s7,obs_bias,8.998172592430148,10.070146804768878,8,,
mbr_reference,drift,mlp_s123,obs_bias,2.4545762832924485,2.748675413291421,8,,
mbr_reference,drift,mlp_s42,obs_bias,3.733871563263994,4.395529039029856,8,,
mbr_reference,drift,mlp_s7,obs_bias,5.467533875146068,6.022586488921983,8,,
mbr_reference,drift,ridge,obs_bias,3.742113784967454,4.2842040476064795,7,0.986455726432367,0.986455726432367
mbr_reference,ar1,gru_s123,obs_bias,2.358703716531028,2.6907606851160484,8,,
mbr_reference,ar1,gru_s42,obs_bias,3.4503758287165343,3.720099614542495,8,,
mbr_reference,ar1,gru_s7,obs_bias,3.2781465714155553,3.6661163966884187,8,,
mbr_reference,ar1,mlp_s123,obs_bias,0.9571721617925244,0.9668500963106127,0,0.0,0.0
mbr_reference,ar1,mlp_s42,obs_bias,1.4277261307521032,1.6604246442823203,8,,
mbr_reference,ar1,mlp_s7,obs_bias,2.0293103430302812,2.263538891959363,8,,
mbr_reference,ar1,ridge,obs_bias,1.3745204675645748,1.6008977881742064,0,0.21124065378487492,0.28475558105401755
mbr_reference,persistence,gru_s123,obs_noise,2.494273016779249,2.853071285368231,8,,
mbr_reference,persistence,gru_s42,obs_noise,3.648690281445011,3.9445014369618177,8,,
mbr_reference,persistence,gru_s7,obs_noise,3.4665619428262207,3.8872618728477755,8,,
mbr_reference,persistence,mlp_s123,obs_noise,1.0112998534675042,1.0150886654457958,8,,
mbr_reference,persistence,mlp_s42,obs_noise,1.4951604777048124,1.760583875156231,8,,
mbr_reference,persistence,mlp_s7,obs_noise,2.1459473675378367,2.400078851934376,8,,
mbr_reference,persistence,ridge,obs_noise,1.453522665533993,1.6974662724612959,0,0.43850576707016725,0.5834084415805868
