reference,model,domain,min_skill,crossing,last_severity
persistence,dlinear,actuation_idv6,1.5498629808425903,,1.0
history_mean,dlinear,actuation_idv6,1.538862954676934,,1.0
drift,dlinear,actuation_idv6,2.6373548476107125,,1.0
ar1,dlinear,actuation_idv6,1.283598756018892,,1.0
persistence,patchtf,actuation_idv6,1.6012663841247559,,1.0
history_mean,patchtf,actuation_idv6,1.5899015264945784,,1.0
drift,patchtf,actuation_idv6,2.7248264605891737,,1.0
ar1,patchtf,actuation_idv6,1.32617112875358,,1.0
persistence,dlinear_s42,actuation_idv6,1.5921522378921509,,1.0
history_mean,dlinear_s42,actuation_idv6,1.5808520671718973,,1.0
drift,dlinear_s42,actuation_idv6,2.7093171942569167,,1.0
ar1,dlinear_s42,actuation_idv6,1.3186227796988874,,1.0
persistence,dlinear_s123,actuation_idv6,1.6026973724365237,,1.0
history_mean,dlinear_s123,actuation_idv6,1.5913223584834537,,1.0
drift,dlinear_s123,actuation_idv6,2.7272615300163197,,1.0
ar1,dlinear_s123,actuation_idv6,1.3273562753372241,,1.0
persistence,dlinear_s7,actuation_idv6,1.604338884353638,,1.0
history_mean,dlinear_s7,actuation_idv6,1.592952219903548,,1.0
drift,dlinear_s7,actuation_idv6,2.730054841080281,,1.0
ar1,dlinear_s7,actuation_idv6,1.3287157778744438,,1.0
persistence,dlinear_s2024,actuation_idv6,1.3712007999420168,,1.0
history_mean,dlinear_s2024,actuation_idv6,1.361468814041217,,1.0
drift,dlinear_s2024,actuation_idv6,2.3333308308381704,,1.0
ar1,dlinear_s2024,actuation_idv6,1.1356304801220627,,1.0
persistence,dlinear_s31337,actuation_idv6,1.6091004610061646,,1.0
history_mean,dlinear_s31337,actuation_idv6,1.5976800016539352,,1.0
drift,dlinear_s31337,actuation_idv6,2.7381574717141093,,1.0
ar1,dlinear_s31337,actuation_idv6,1.3326593225254355,,1.0
persistence,patchtf_s42,actuation_idv6,1.612227201461792,,1.0
history_mean,patchtf_s42,actuation_idv6,1.6007845503240627,,1.0
drift,patchtf_s42,actuation_idv6,2.7434781511546795,,1.0
ar1,patchtf_s42,actuation_idv6,1.335248893480318,,1.0
persistence,patchtf_s123,actuation_idv6,1.6141653060913088,,1.0
history_mean,patchtf_s123,actuation_idv6,1.6027088994139604,,1.0
drift,patchtf_s123,actuation_idv6,2.7467761650455937,,1.0
ar1,patchtf_s123,actuation_idv6,1.336854034529709,,1.0
persistence,patchtf_s7,actuation_idv6,1.5896122455596924,,1.0
history_mean,patchtf_s7,actuation_idv6,1.578330102227965,,1.0
drift,patchtf_s7,actuation_idv6,2.7049949663092168,,1.0
ar1,patchtf_s7,actuation_idv6,1.3165191543858492,,1.0
persistence,patchtf_s2024,actuation_idv6,1.5799325704574585,,1.0
history_mean,patchtf_s2024,actuation_idv6,1.5687191278307067,,1.0
drift,patchtf_s2024,actuation_idv6,2.688523356644539,,1.0
ar1,patchtf_s2024,actuation_idv6,1.3085024335056978,,1.0
persistence,patchtf_s31337,actuation_idv6,1.611004114151001,,1.0
history_mean,patchtf_s31337,actuation_idv6,1.599570143775757,,1.0
drift,patchtf_s31337,actuation_idv6,2.7413968605580017,,1.0
ar1,patchtf_s31337,actuation_idv6,1.334235930805527,,1.0
persistence,dlinear,dynamics_idv13,1.3601330518722534,,6.0
history_mean,dlinear,dynamics_idv13,1.3643301026849082,,6.0
drift,dlinear,dynamics_idv13,1.98012077531236,,6.0
ar1,dlinear,dynamics_idv13,1.1955756292128614,,6.0
persistence,patchtf,dynamics_idv13,1.4174951314926147,,6.0
history_mean,patchtf,dynamics_idv13,1.4218691881963879,,6.0
drift,patchtf,dynamics_idv13,2.0636301389110523,,6.0
ar1,patchtf,dynamics_idv13,1.245997684864453,,6.0
persistence,dlinear_s42,dynamics_idv13,1.3635588884353638,,6.0
history_mean,dlinear_s42,dynamics_idv13,1.3677665105741925,,6.0
drift,dlinear_s42,dynamics_idv13,1.9851082066096892,,6.0
ar1,dlinear_s42,dynamics_idv13,1.1985869865935848,,6.0
