reference,model,domain,severity,skill,method
persistence,dlinear,actuation_idv6,0.0,1.7819072008132935,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,actuation_idv6,0.35,1.7844301462173464,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,actuation_idv6,0.75,1.7092058658599851,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,actuation_idv6,1.0,1.5498629808425903,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,actuation_idv6,0.0,1.7482201093957745,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,actuation_idv6,0.35,1.748675330108799,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,actuation_idv6,0.75,1.6730235471405068,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,actuation_idv6,1.0,1.538862954676934,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,actuation_idv6,0.0,3.0869088908266913,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,actuation_idv6,0.35,3.1134163512539117,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,actuation_idv6,0.75,2.9932640510907276,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,actuation_idv6,1.0,2.6373548476107125,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,actuation_idv6,0.0,1.4249260621434383,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,actuation_idv6,0.35,1.418933492333686,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,actuation_idv6,0.75,1.3653350861434694,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,actuation_idv6,1.0,1.283598756018892,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,actuation_idv6,0.0,1.9930928945541382,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,actuation_idv6,0.35,1.9749737977981567,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,actuation_idv6,0.75,1.819649338722229,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,actuation_idv6,1.0,1.6012663841247559,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,actuation_idv6,0.0,1.955413321503528,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,actuation_idv6,0.35,1.93540103833253,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,actuation_idv6,0.75,1.7811290330958445,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,actuation_idv6,1.0,1.5899015264945784,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,actuation_idv6,0.0,3.45275902899689,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,actuation_idv6,0.35,3.4458707887206197,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,actuation_idv6,0.75,3.186679299422931,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,actuation_idv6,1.0,2.7248264605891737,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,actuation_idv6,0.0,1.5938035428707316,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,actuation_idv6,0.35,1.5704489604805918,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,actuation_idv6,0.75,1.453558717682719,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,actuation_idv6,1.0,1.32617112875358,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,actuation_idv6,0.0,1.7994544506072996,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,actuation_idv6,0.35,1.8062013387680054,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,actuation_idv6,0.75,1.7475200891494753,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,actuation_idv6,1.0,1.5921522378921509,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,actuation_idv6,0.0,1.7654356270952773,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,actuation_idv6,0.35,1.7700102909651199,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,actuation_idv6,0.75,1.7105266935046015,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,actuation_idv6,1.0,1.5808520671718973,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,actuation_idv6,0.0,3.11730708517371,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,actuation_idv6,0.35,3.151402028091532,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,actuation_idv6,0.75,3.060362221948098,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,actuation_idv6,1.0,2.7093171942569167,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,actuation_idv6,0.0,1.4389579564749773,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,actuation_idv6,0.35,1.4362453912296227,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,actuation_idv6,0.75,1.3959409683255755,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,actuation_idv6,1.0,1.3186227796988874,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,actuation_idv6,0.0,1.8065581321716306,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,actuation_idv6,0.35,1.8136659860610962,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,actuation_idv6,0.75,1.7580111026763918,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,actuation_idv6,1.0,1.6026973724365237,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,actuation_idv6,0.0,1.772405013018315,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,actuation_idv6,0.35,1.7773253683286476,exact rescaling of published aggregate; no per-episode CI
