"system","reference","model","domain","severity","skill","ci_low","ci_high","reference_loss","model_loss","n_valid"
"tep","persistence","GRU (seed 42)","Actuation / IDV(14)",0,2.03666325411613,1.94530679251196,2.13223489457426,1.30908275274108,0.642758566049346,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(14)",0.5,1.47209221117061,1.4332274114955,1.5114974101427,1.91653892432092,1.30191499539073,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(14)",1,1.23847877156928,1.21611010197026,1.26020234633174,3.34825547023633,2.70352269824839,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(14)",2,1.11610037592667,1.1048926418476,1.12665841322749,6.2547680863712,5.60412685210147,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(14)",3,1.07619171536114,1.06894300994491,1.08326618890613,9.02756826778279,8.38843873161893,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(14)",5,1.05047635839386,1.0456724424058,1.05520310634801,12.536964523048,11.9345518086828,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(14)",8,1.03041762041733,1.02509107527073,1.03588334697823,15.5377818893543,15.0791112083868,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(14)",0,1.95800270873718,1.86870827185138,2.05324913627536,1.30908275274108,0.668580664827259,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(14)",0.5,1.46519489137648,1.42266805527215,1.5104658706772,1.91653892432092,1.30804368456433,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(14)",1,1.27655253897557,1.24106703591896,1.31232672460496,3.34825547023633,2.62288888863384,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(14)",2,1.20368860685173,1.16902835190301,1.23767894938457,6.2547680863712,5.19633404417662,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(14)",3,1.18404039053776,1.15682349878966,1.21210746172478,9.02756826778279,7.62437526618726,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(14)",5,1.21961602908926,1.18133957030745,1.25820673055464,12.536964523048,10.2794356781371,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(14)",8,1.17357933654763,1.12900490769494,1.21761034622013,15.5377818893543,13.2396518969586,80
"tep","persistence","Ridge","Actuation / IDV(14)",0,2.00306990143064,1.910100610093,2.10284993036006,1.30908275274108,0.653538227400901,80
"tep","persistence","Ridge","Actuation / IDV(14)",0.5,1.4963132048498,1.45469936164937,1.54058147388993,1.91653892432092,1.28084074785218,80
"tep","persistence","Ridge","Actuation / IDV(14)",1,1.3090409459112,1.27208805617087,1.34754943881378,3.34825547023633,2.55779277240689,80
"tep","persistence","Ridge","Actuation / IDV(14)",2,1.22504673452785,1.18899640016563,1.26039522690971,6.2547680863712,5.10573834457169,80
"tep","persistence","Ridge","Actuation / IDV(14)",3,1.20042035294414,1.17263554786137,1.22908029294593,9.02756826778279,7.52033922587352,80
"tep","persistence","Ridge","Actuation / IDV(14)",5,1.24036152130008,1.19954233435913,1.28195003330644,12.536964523048,10.1075084221473,80
"tep","persistence","Ridge","Actuation / IDV(14)",8,1.16791014314275,1.11962383986895,1.2162638532162,15.5377818893543,13.3039189535108,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(6)",0,2.03666325411613,1.94530679251196,2.13223489457426,1.30908275274108,0.642758566049346,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(6)",0.05,2.03409861459012,1.94307097858996,2.12964681494204,1.30742544581893,0.642754208886959,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(6)",0.1,2.03128370961821,1.94013386579655,2.12723994420834,1.30595565975978,0.642921347508487,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(6)",0.2,2.02479970771409,1.93283723457249,2.12049128070627,1.30365418918567,0.643843528927331,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(6)",0.35,2.00878043280622,1.91652172184276,2.10713661717034,1.30236101847006,0.648334181875066,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(6)",0.5,1.97066288190595,1.87695333203064,2.06889914540095,1.30607518684091,0.662759317604706,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(6)",0.75,1.82443660836348,1.7202259548903,1.93478975692715,1.34454937290053,0.736966889798702,80
"tep","persistence","GRU (seed 42)","Actuation / IDV(6)",1,1.59126401952043,1.48704362402862,1.70413361790274,1.46340091739206,0.919646833862993,78
"tep","persistence","MLP (seed 42)","Actuation / IDV(6)",0,1.95800270873718,1.86870827185138,2.05324913627536,1.30908275274108,0.668580664827259,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(6)",0.05,1.95669174900903,1.86630231014966,2.05296569806833,1.30742544581893,0.668181611375976,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(6)",0.1,1.95517229510194,1.86412313872141,2.05208906031581,1.30595565975978,0.667949143424052,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(6)",0.2,1.95175430597689,1.85878438409439,2.0496034730232,1.30365418918567,0.667939701833097,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(6)",0.35,1.94332228124415,1.84745442130692,2.04290146309379,1.30236101847006,0.670172431531153,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(6)",0.5,1.91870019578743,1.82032432392029,2.01631396718093,1.30607518684091,0.680708319991024,80
